id|name|description|thumbnail|price|child_product_ids|tags
p0|Magic The Gathering Battle For Zendikar Booster Pack|This is for ONE PACKET of Magic The Gathering Battle for Zendikar.|../img/mtg0.jpg|5.5|-1|card_games mtg
p1|Magic The Gathering Eldritch Moon Booster Pack|This is for ONE BOOSTER PACK of Magic The Gathering Eldritch Moon.|../img/mtg1.jpg|5.5|-1|card_games mtg
p2|Magic The Gathering Kaladesh Booster Pack|This is for ONE BOOSTER PACK of Magic The Gathering Kaladesh.|../img/mtg2.jpg|5.5|-1|card_games mtg
p3|Pokemon TCG Sun & Moon Booster Pack|This is for ONE BOOSTER PACK of Pokemon TCG Sun & Moon.|../img/p4.jpg|5|-1|card_games pokemon
p4|Pokemon TCG Sun & Moon Crimson Invasion Booster Pack|This is for ONE BOOSTER PACK of Pokemon TCG Sun & Moon Crimson Invasion.|../img/p5.jpg|5|-1|card_games pokemon
p5|Pokemon TCG Sun & Moon Guardians Rising Booster Pack|This is for ONE BOOSTER PACK of Pokemon TCG Sun & Moon Guardians Rising.|../img/p6.jpg|5|-1|card_games pokemon
p6|Star Wars Rogue One BB8 Barrel Coffee Mug|BB8 design<br><br>- 330ml ceramic coffee mug<br><br>- Open gift box packaging<br><br>- Star Wars Official Merchandise|../img/sw8.jpg|9.99|-1|loot
p7|Star Wars Rogue One Barrel Coffee Mug Shore Trooper|Barrel Coffee Mug<br><br>Shore Trooper character design<br><br>14oz new bone china mug(400mL)<br><br>Open Gift Box<br><br>Official Star Wars Licensed Merchandise|../img/sw9.jpg|9.99|-1|loot
p8|Star Wars Rogue One Death Trooper Barrel Coffee Mug|Barrel Coffee Mug<br><br>Death Trooper character design<br><br>14oz new bone china mug (400mL)<br><br>Open Gift Box<br><br>Official Star Wars Licensed Merchandise|../img/sw10.jpg|9.99|-1|loot
p9|Star Wars Rogue One Barrel Coffee Mug K-2S0|Barrel Coffee Mug<br><br>K-2S0 character design<br><br>14oz new bone china mug (400mL)<br><br>Open Gift Box<br><br>Official Star Wars Licensed Merchandise|../img/sw11.jpg|9.99|-1|loot
p10|D&D Princes Of The Apocalypse|SYNOPSIS<br><br>Abolish an ancient evil threatening devastation in this adventure for the world?s greatest roleplaying game!<br><br>Called by the Elder Elemental Eye to serve, four corrupt prophets have risen from the depths of anonymity to claim mighty weapons with direct links to the power of the elemental princes. Each of these prophets has assembled a cadre of cultists and creatures to serve them in the construction of four elemental temples of lethal design. It is up to adventurers from heroic factions such as the Emerald Enclave and the Order of the Gauntlet to discover where the true power of each prophet lay, and dismantle it before it comes boiling up to obliterate the Realms.|../img/rpg13.jpg|49.99|-1|rpgs
